Model,MAE,MSE,RMSE,RMSE_per,R2,Median_AE
Botton score,0.3389597855227882,0.18380014117962465,0.42871918685734683,92.63294716896853,-0.7904445063169703,0.29910000000000003
Random Forest,0.21956331334507656,0.07189277930411954,0.26812828889193985,57.93422450135757,0.2996739234105191,0.17564755033328416
