Feature,Importance
Treatment_UTC,6.1203179359436035
Treatment_Brevis,3.0809261798858643
Treatment_ACC,2.410513162612915
min,2.3976616859436035
median,1.2156331539154053
Treatment_BA,1.1076544523239136
mean,0.9647356271743774
max,0.9472458958625793
range,0.9276508092880249
non_zero_per_row,0.721697986125946
std,0.6953555345535278
