Model,MAE,MSE,RMSE,RMSE_per,R2,Median_AE
Botton score,0.31300697050938336,0.16792558804289545,0.4097872472916836,92.3903791343073,-0.5940275972139211,0.2499
XGBoost,0.19228095274668278,0.0595535857324225,0.2440360336762227,55.02021310519286,0.43468973205990824,0.15823203325271606
