Model,MAE,MSE,RMSE,RMSE_per,R2,Median_AE
Botton score,0.5022901772879732,0.3419719365884044,0.5847836664856538,89.40912608373267,-2.2661955606421915,0.498
XGBoost,0.22241102239076865,0.07563472676076881,0.2750176844509618,42.048183342917426,0.2776079486494776,0.1927646040916443
