Treatment,target,botton_score,max,min,range,mean,std,median,non_zero_per_row
Brevis,0.0,0.0,16.0,16.0,0.0,16.0,,16.0,1
Brevis,0.0,0.0,14.5,14.5,0.0,14.5,,14.5,1
Brevis,0.0,0.0,14.0,14.0,0.0,14.0,,14.0,1
Brevis,0.33,0.0527,15.8,11.8,4.0,14.2333,2.1362,15.1,3
Brevis,0.0,0.057,16.5,13.0,3.5,15.05,1.4708,15.35,4
Brevis,0.0,0.0,14.1,14.1,0.0,14.1,,14.1,1
Brevis,0.0,0.035,15.5,14.8,0.7,15.15,0.495,15.15,2
Brevis,0.0,0.1,19.6,16.4,3.2,18.0,2.2627,18.0,2
Brevis,0.75,0.0157,17.4,9.5,7.9,14.55,3.7189,15.65,4
Brevis,0.0,0.0227,18.5,15.7,2.8,16.9,1.4422,16.5,3
Brevis,0.4,0.0815,17.4,13.5,3.9,14.66,1.6134,14.2,5
Brevis,0.25,0.1755,18.0,9.0,9.0,14.6,3.9724,15.7,4
Brevis,0.75,0.0003,16.6,9.0,7.6,13.025,4.1444,13.25,4
Brevis,0.5,0.31,17.4,8.7,8.7,12.675,4.3362,12.3,4
Brevis,0.4,0.2714,18.3,8.6,9.7,13.86,4.3189,16.0,5
Brevis,1.0,0.0085,18.5,15.3,3.2,16.4333,1.7926,15.5,3
Brevis,1.0,0.0408,15.1,10.8,4.3,12.3667,2.3756,11.2,3
Brevis,0.67,0.0554,15.4,12.0,3.4,13.9667,1.7616,14.5,3
Brevis,0.0,0.0,14.0,14.0,0.0,14.0,,14.0,1
Brevis,0.4,0.2417,19.0,10.0,9.0,15.18,3.2851,15.2,5
Brevis,0.4,0.1007,19.3,14.0,5.3,16.6,1.9455,16.3,5
Brevis,0.25,0.0271,18.2,15.5,2.7,16.675,1.1206,16.5,4
Brevis,0.6,0.1266,16.5,9.6,6.9,13.56,3.2036,15.4,5
Brevis,0.0,0.0332,17.0,16.2,0.8,16.6,0.5657,16.6,2
Brevis,0.5,0.1786,15.7,10.0,5.7,12.925,2.5264,13.0,4
Brevis,0.4,0.2732,17.3,9.5,7.8,13.56,3.094,14.6,5
Brevis,0.33,0.2832,16.9,8.9,8.0,13.2,4.0336,13.8,3
Brevis,0.67,0.0431,16.1,13.1,3.0,14.7667,1.5275,15.1,3
Brevis,0.5,0.1878,17.1,8.5,8.6,13.6,3.8314,14.4,4
Brevis,0.75,0.408,16.4,7.4,9.0,11.55,4.3898,11.2,4
Brevis,0.25,0.0671,16.2,12.5,3.7,14.625,1.5521,14.9,4
Brevis,0.2,0.0291,16.7,14.5,2.2,15.44,0.8355,15.5,5
Brevis,0.2,0.0176,14.3,9.0,5.3,12.86,2.2007,13.5,5
Brevis,0.33,0.0475,15.8,12.9,2.9,14.4,1.4526,14.5,3
Brevis,0.8,0.1857,12.3,7.0,5.3,9.86,2.4825,10.9,5
Brevis,0.4,0.0667,16.4,12.6,3.8,14.66,1.4859,15.0,5
Brevis,0.75,0.2677,17.3,9.4,7.9,13.2,3.676,13.05,4
Brevis,0.25,0.1726,17.6,10.0,7.6,14.775,3.3069,15.75,4
Brevis,0.25,0.0985,17.1,8.3,8.8,14.25,4.0542,15.8,4
Brevis,1.0,0.1528,16.0,8.0,8.0,12.4,3.3593,12.4,5
Brevis,0.5,0.2356,15.1,9.0,6.1,12.45,2.541,12.85,4
Brevis,1.0,0.0615,15.3,14.1,1.2,14.7,0.8485,14.7,2
Brevis,0.67,0.1357,14.3,8.5,5.8,12.0667,3.1214,13.4,3
Brevis,0.0,0.0,15.3,14.8,0.5,15.1,0.2345,15.2,5
Brevis,1.0,0.2824,8.5,6.8,1.7,7.65,1.2021,7.65,2
Brevis,1.0,0.0001,9.6,9.6,0.0,9.6,,9.6,1
Brevis,0.5,0.1088,15.0,10.2,4.8,13.0,2.0928,13.4,4
Brevis,0.25,0.1541,17.1,8.3,8.8,14.175,3.9928,15.65,4
Brevis,0.2,0.012,17.5,14.1,3.4,16.48,1.3719,16.8,5
Brevis,0.75,0.4625,17.2,7.3,9.9,12.45,4.1073,12.65,4
Brevis,0.33,0.2006,18.2,10.8,7.4,14.6667,3.7112,15.0,3
Brevis,0.4,0.0001,15.0,13.1,1.9,14.36,0.7829,14.5,5
Brevis,0.2,0.0364,16.2,10.6,5.6,14.64,2.2963,15.3,5
Brevis,0.2,0.1814,17.6,9.9,7.7,14.64,2.8815,15.0,5
Brevis,0.6,0.0851,16.9,10.1,6.8,13.54,2.9754,12.5,5
Brevis,0.33,0.0091,16.8,15.4,1.4,16.1333,0.7024,16.2,3
Brevis,0.5,0.2871,15.3,9.7,5.6,12.5,3.9598,12.5,2
Brevis,0.75,0.0134,14.9,11.0,3.9,13.05,2.0889,13.15,4
Brevis,0.33,0.1261,15.2,9.9,5.3,13.0333,2.7791,14.0,3
Brevis,0.5,0.0416,15.2,14.4,0.8,14.8,0.5657,14.8,2
Brevis,0.33,0.1475,17.9,11.2,6.7,15.0,3.4395,15.9,3
Brevis,0.33,0.152,16.8,7.0,9.8,13.2333,5.4169,15.9,3
Brevis,0.25,0.2387,18.9,9.4,9.5,15.275,4.0934,16.4,4
Brevis,1.0,0.03,11.1,9.0,2.1,9.6,1.0033,9.15,4
Brevis,0.0,0.0637,17.9,16.2,1.7,17.05,1.2021,17.05,2
Brevis,0.75,0.4537,15.93,8.07,7.86,10.9225,3.7311,9.845,4
Brevis,0.75,0.4808,18.77,8.27,10.5,12.1925,4.8434,10.865,4
Brevis,0.8,0.5926,17.59,7.27,10.32,10.208,4.3234,8.07,5
Brevis,1.0,0.3113,17.65,9.02,8.63,13.6975,3.5763,14.06,4
Brevis,1.0,0.0661,14.36,11.12,3.24,12.83,1.3071,12.97,5
Brevis,0.75,0.1331,14.2,9.79,4.41,12.2475,1.8885,12.5,4
Brevis,0.8,0.1375,13.11,9.83,3.28,11.152,1.2449,11.03,5
Brevis,1.0,0.3476,13.59,7.2,6.39,10.76,2.6811,11.125,4
Brevis,0.75,0.4928,15.89,6.13,9.76,11.875,4.1088,12.74,4
Brevis,0.8,0.2449,13.46,9.1,4.36,10.758,1.7079,10.25,5
Brevis,0.5,0.0912,14.87,10.6,4.27,13.1775,1.8429,13.62,4
Brevis,0.67,0.0685,19.59,14.26,5.33,16.5333,2.75,15.75,3
Brevis,0.75,0.5445,17.18,5.92,11.26,11.3775,5.2377,11.205,4
Brevis,0.75,0.7555,13.99,5.45,8.54,8.5725,3.9373,7.425,4
Brevis,0.4,0.2792,20.82,10.01,10.81,15.812,4.4663,17.89,5
Brevis,0.5,0.1038,22.35,15.24,7.11,19.015,2.9817,19.235,4
Brevis,0.8,0.3182,19.88,8.0,11.88,15.272,4.5202,17.06,5
Brevis,1.0,0.3172,16.29,9.41,6.88,12.0,2.621,11.21,5
Brevis,1.0,0.1773,15.97,10.74,5.23,12.5025,2.4469,11.65,4
