Model,MAE,MSE,RMSE,RMSE_per,R2,Median_AE
Botton score,0.5020017249640633,0.3426851116051749,0.585393125690057,89.28318960764337,-2.248876374698051,0.4975
XGBoost,0.24138501616852615,0.08722685278245826,0.29534192520273556,45.045061087587264,0.1730330509056347,0.21582859754562378
