Model,MAE,MSE,RMSE,RMSE_per,R2,Median_AE
Botton score,0.49693857211308107,0.342405427743172,0.5851541914257916,90.6700520837511,-2.1488519416346183,0.4828
Random Forest,0.259889197064688,0.09584217532755213,0.3095838744630478,47.97023832890686,0.11860970820528671,0.25713293511470714
